"Category","SubCategory","Quote","Author","AuthorFacts","Keywords"
"Inspirational","Power","Far better to think historically, to remember the lessons of the past. Thus, far better to conceive of power as consisting in part of the knowledge of when not to use all the power you have. Far better to be one who knows that if you reserve the power not to use all your power, you will lead others far more successfully and well.","A Bartlett Giamatti","","Knowledge, Past, Power, Will"
"Inspirational","Education","A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.","A Bartlett Giamatti","","Act, Education, Heart, Liberal, Society, Teaching"
"Inspirational","Giving","Teachers believe they have a gift for giving it drives them with the same irrepressible drive that drives others to create a work of art or a market or a building.","A Bartlett Giamatti","","Art, Building, Giving, Teachers, Work"
"Inspirational","Potential","Teaching is an instinctual art, mindful of potential, craving of realizations, a pausing, seamless process.","A Bartlett Giamatti","","Art, Potential, Teaching"
"Inspirational","Education","To the uneducated, an A is just three sticks.","A. A. Milne","English juvenile author  (1882 - 1956)",
"Inspirational","Love","If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.","A. A. Milne","English juvenile author  (1882 - 1956)","Day, Want"
"Inspirational","Glory","When there is no peril in the fight, there is no glory in the triumph.","A. Alvarez","","Fight, Glory"
"Inspirational","Heart","It breaks your heart. It is designed to break your heart. The game begins in the spring when everything else begins again, and it blossoms in the summer, filling the afternoons and evenings, and then as soon as the chill rains come, it stops and leaves yo","A. Bartlett Giamatti","US educator & baseball administrator  (1938 - 1989)","Heart, Spring, Summer"
"Inspirational","Thought","Three minutes thought would suffice to find this out but thought is irksome and three minutes is a long time.","A. E. Houseman","","Thought, Time"
"Inspirational","Confidence","If this world affords true happiness, it is to be found in a home where love and confidence increase with the years, where the necessities of life come without severe strain, where luxuries enter only after their cost has been carefully considered.","A. Edward Newton","","Confidence, Happiness, Home, Life, Love, World, Years"
"Inspirational","Democracy","I take a grave view of the press. It is the weak slat under the bed of democracy.","A. J. Liebling"," (1904 - 1963)","Bed, Democracy, Grave, Press"
"Inspirational","Freedom","Freedom of the press is guaranteed only to those who own one.","A. J. Liebling"," (1904 - 1963)","Freedom, Press"
"Inspirational","Hell","It may be that we have all lived before and died, and this is hell.","A. L. Prusick","","Hell, May"
"Inspirational","Achievement","If life were measured by accomplishments, most of us would die in infancy.","A. P. Gouthey ","","Accomplishments, Life"
"Inspirational","Knowledge","No matter how much we learn, there is always more knowledge to be gained. In this connection I am reminded of a short poem that has been in my mind over the years. It reads as follow: I used to think I knew I knew. But now I must confess. The more I know I know I know I know I know the less.","A. Ray Olpin","","Connection, Knowledge, Mind, Years"
"Inspirational","Potential","The widest thing in the universe is not space, it is the potential capacity of the human heart.","A. W. Tozer","","Heart, Potential, Space, Universe"
"Inspirational","Money","For one person who dreams of making fifty thousand pounds, a hundred people dream of being left fifty thousand pounds.","A.A. Milne","","Being, Dream, Dreams, People"
"Inspirational","Spirituality","As I make my slow pilgrimage through the world, a certain sense of beautiful mystery seems to gather and grow.","A.C. Benson","","Mystery, Pilgrimage, Sense, World"
"Inspirational","Inspiration","It is often wonderful how putting down on paper a clear statement of a case helps one to see, not perhaps the way out, but the way in.","A.C. Benson","",
"Inspirational","Inspiration","Of course we all have our limits, but how can you possibly find your boundaries unless you explore as far and as wide as you possibly can? I would rather fail at an attempt at something new and unchartered, than safely succeed in a repeat of something I have already done. ","A.E. Hotchner","","Limits, Succeed"
"Inspirational","Integrity","The house of delusions is cheap to build but drafty to live in","A.E. Housman","",
"Inspirational","Humanity","Nothing is impossible for the man who doesn't have to do it himself.","A.H. Weiler","","Man, Nothing"
"Inspirational","Victory","There are important cases in which the difference between half a heart and a whole heart makes just the difference between signal defeat and a splendid victory.","A.H.K. Boyd ","","Defeat, Difference, Heart, Victory"
"Inspirational","Character","We have all been inoculated with Christianity, and are never likely to take it seriously now! You put some of the virus of some dreadful illness into a man's arm, and there is a little itchiness, some scratchiness, a slight discomfort, disagreeable, no doubt, but not the fever of the real disease, the turning and the tossing, and the ebbing strength. And we have all been inoculated with Christianity, more or less. We are on Christ's side, we wish him well, we hope that He will win, and we are even prepared to do something for Him, provided, of course, that He is reasonable, and does not make too much of an upset among our cozy comforts and our customary ways. But there is not the passion of zeal, and the burning enthusiasm, and the eagerness of self-sacrifice, of the real faith that changes character and wins the world.","A.J. Gossip ","","Character, Christ, Christianity, Disease, Doubt, Enthusiasm, Faith, Hope, Illness, Man, Passion, Self, Strength, Will, World, Zeal"
"Inspirational","Inspiration","Let your heart soar as high as it will. Refuse to be average. ","A.W. Tozer","","Heart, Will"
